station_number1,station_number2,name,latitude,longitude,line_01,line_02,line_no1,line_no2,zipcode,address
O53,,三民高中,25.085456,121.473389,中和新蘆線,,4,,24760,新北市蘆洲區三民路105號B1
O52,,徐匯中學,25.080728,121.479673,中和新蘆線,,4,,24753,新北市蘆洲區中山一路3號B1
O51,,三和國中,25.076859,121.486347,中和新蘆線,,4,,24152,新北市三重區三和路四段107號B1
O50,,三重國小,25.070319,121.496904,中和新蘆線,,4,,24149,新北市三重區三和路三段5號B1
O21,,迴龍,25.021862,121.41127,中和新蘆線,,4,,24257,新北市新莊區中正路758號B1
O20,,丹鳳,25.0288671,121.4227079,中和新蘆線,,4,,24256,新北市新莊區中正路624之1號B1
O19,,輔大,25.032718,121.43547,中和新蘆線,,4,,24205,新北市新莊區中正路510之1號B1
O18,,新莊,25.036125,121.452468,中和新蘆線,,4,,24243,新北市新莊區中正路138號B1
O17,,頭前庄,25.039705,121.461746,中和新蘆線,,4,,24251,新北市新莊區思源路18號B1
O16,,先嗇宮,25.046493,121.471916,中和新蘆線,,4,,24158,新北市三重區重新路五段515號B1
O15,,三重,25.055791,121.484725,中和新蘆線,,4,,24161,新北市三重區捷運路36號B1
O14,,菜寮,25.060274,121.492156,中和新蘆線,,4,,24143,新北市三重區重新路三段150號B1
O13,,台北橋,25.063274,121.500762,中和新蘆線,,4,,24142,新北市三重區重新路一段108號B1
O12,,大橋頭,25.063256,121.51272,中和新蘆線,,4,,10357,台北市大同區民權西路223號B1
O10,,中山國小,25.062694,121.526419,中和新蘆線,,4,,10452,台北市中山區民權東路一段71號B1
O09,,行天宮,25.059718,121.533185,中和新蘆線,,4,,10468,台北市中山區松江路316號B1
O08,G15,松江南京,25.052015,121.533075,中和新蘆線,松山新店線,4,3,10457,台北市中山區松江路126號B1
O07,BL14,忠孝新生,25.042356,121.532905,中和新蘆線,板南線,4,5,10652,台北市大安區新生南路一段67號
O05,G09,古亭,25.026357,121.522873,中和新蘆線,松山新店線,4,3,10084,台北市中正區羅斯福路二段164之1號B1
O04,,頂溪,25.013821,121.515485,中和新蘆線,,4,,23445,新北市永和區永和路二段168號B1
O03,,永安市場,25.002876,121.511231,中和新蘆線,,4,,23574,新北市中和區中和路388號
O02,,景安,24.993905,121.505113,中和新蘆線,,4,,23582,新北市中和區景平路486號
O01,,南勢角,24.990045,121.509237,中和新蘆線,,4,,23566,新北市中和區捷運路6號
BL22,,南港,25.052116,121.606686,板南線,,5,,11561,台北市南港區忠孝東路七段380號
BL21,,昆陽,25.050461,121.593268,板南線,,5,,11558,台北市南港區忠孝東路六段451號
BL20,,後山埤,25.045055,121.582522,板南線,,5,,11575,台北市南港區忠孝東路六段2號
BL19,,永春,25.040859,121.576293,板南線,,5,,11061,台北市信義區忠孝東路五段455號
BL18,,市政府,25.041171,121.565228,板南線,,5,,11071,台北市信義區忠孝東路五段2號
BL17,,國父紀念館,25.041349,121.557802,板南線,,5,,11072,台北市信義區忠孝東路四段400號
BL16,,忠孝敦化,25.041478,121.551098,板南線,,5,,10686,台北市大安區忠孝東路四段182號
BL13,,善導寺,25.044823,121.523208,板南線,,5,,10049,台北市中正區忠孝東路一段58號B1
BL10,,龍山寺,25.03528,121.499826,板南線,,5,,10855,台北市萬華區西園路一段153號
BL09,,江子翠,25.03001,121.47239,板南線,,5,,22044,新北市板橋區文化路二段296號B1
BL08,,新埔,25.023738,121.468361,板南線,,5,,22047,新北市板橋區民生路三段2號B1
BL07,,板橋,25.013618,121.462302,板南線,,5,,22041,新北市板橋區站前路5號B1
BL06,,府中,25.008619,121.459409,板南線,,5,,22055,新北市板橋區縣民大道一段193號B1
BL05,,亞東醫院,24.998037,121.452514,板南線,,5,,22060,新北市板橋區南雅南路二段17號B1
BL04,,海山,24.985339,121.448786,板南線,,5,,23660,新北市土城區海山路39號B2
BL03,,土城,24.973094,121.444362,板南線,,5,,23671,新北市土城區金城路一段105號B1
BL02,,永寧,24.966726,121.436072,板南線,,5,,23671,新北市土城區中央路三段105號B1
BL01,,頂埔,24.96012,121.4205,板南線,,5,,23671,新北市土城區中央路四段51-6號B3
